# clk_mhz=200.0
# source=ctrl=hw-handshake-sw-loop coproc=cpu-echo
sample,rtt_cycles,rtt_us
1138,460,2.3000
1139,461,2.3050
1140,460,2.3000
1141,462,2.3100
1142,461,2.3050
1143,461,2.3050
1144,461,2.3050
1145,461,2.3050
1146,462,2.3100
1147,460,2.3000
1148,467,2.3350
1149,481,2.4050
1150,462,2.3100
1151,460,2.3000
1152,459,2.2950
1153,461,2.3050
1154,484,2.4200
1155,462,2.3100
1156,461,2.3050
1157,461,2.3050
1158,462,2.3100
1159,484,2.4200
1160,460,2.3000
1161,464,2.3200
1162,461,2.3050
1163,461,2.3050
1164,462,2.3100
1165,463,2.3150
1166,463,2.3150
1167,462,2.3100
1168,461,2.3050
1169,478,2.3900
1170,462,2.3100
1171,462,2.3100
1172,461,2.3050
1173,462,2.3100
1174,469,2.3450
1175,462,2.3100
1176,461,2.3050
1177,460,2.3000
1178,459,2.2950
1179,461,2.3050
1180,461,2.3050
1181,460,2.3000
1182,467,2.3350
1183,462,2.3100
1184,465,2.3250
1185,462,2.3100
1186,459,2.2950
1187,459,2.2950
1188,461,2.3050
1189,461,2.3050
1190,462,2.3100
1191,465,2.3250
1192,459,2.2950
1193,460,2.3000
1194,460,2.3000
1195,460,2.3000
1196,462,2.3100
1197,461,2.3050
1198,461,2.3050
1199,461,2.3050
1200,465,2.3250
1201,463,2.3150
1202,460,2.3000
1203,460,2.3000
1204,463,2.3150
1205,461,2.3050
1206,481,2.4050
1207,463,2.3150
1208,462,2.3100
1209,460,2.3000
1210,463,2.3150
1211,461,2.3050
1212,462,2.3100
1213,461,2.3050
1214,462,2.3100
1215,464,2.3200
1216,464,2.3200
1217,461,2.3050
1218,460,2.3000
1219,466,2.3300
1220,463,2.3150
1221,462,2.3100
1222,461,2.3050
1223,463,2.3150
1224,485,2.4250
1225,462,2.3100
1226,462,2.3100
1227,463,2.3150
1228,461,2.3050
1229,477,2.3850
1230,463,2.3150
1231,462,2.3100
1232,460,2.3000
1233,462,2.3100
1234,462,2.3100
1235,460,2.3000
1236,462,2.3100
1237,462,2.3100
1238,463,2.3150
1239,466,2.3300
1240,462,2.3100
1241,461,2.3050
1242,466,2.3300
1243,461,2.3050
1244,460,2.3000
1245,461,2.3050
1246,462,2.3100
1247,493,2.4650
1248,460,2.3000
1249,460,2.3000
1250,461,2.3050
1251,462,2.3100
1252,463,2.3150
1253,461,2.3050
1254,462,2.3100
1255,461,2.3050
1256,462,2.3100
1257,459,2.2950
1258,461,2.3050
1259,461,2.3050
1260,461,2.3050
1261,462,2.3100
1262,462,2.3100
1263,466,2.3300
1264,460,2.3000
1265,461,2.3050
1266,462,2.3100
1267,462,2.3100
1268,462,2.3100
1269,461,2.3050
1270,463,2.3150
1271,460,2.3000
1272,461,2.3050
1273,461,2.3050
1274,461,2.3050
1275,460,2.3000
1276,462,2.3100
1277,460,2.3000
1278,461,2.3050
1279,462,2.3100
1280,462,2.3100
1281,462,2.3100
1282,461,2.3050
1283,462,2.3100
1284,461,2.3050
1285,485,2.4250
1286,461,2.3050
1287,461,2.3050
1288,462,2.3100
1289,462,2.3100
1290,461,2.3050
1291,461,2.3050
1292,462,2.3100
1293,459,2.2950
1294,461,2.3050
1295,472,2.3600
1296,461,2.3050
1297,461,2.3050
1298,466,2.3300
1299,462,2.3100
1300,464,2.3200
1301,459,2.2950
1302,462,2.3100
1303,460,2.3000
1304,463,2.3150
1305,460,2.3000
1306,461,2.3050
1307,463,2.3150
1308,460,2.3000
1309,460,2.3000
1310,461,2.3050
1311,462,2.3100
1312,463,2.3150
1313,461,2.3050
1314,466,2.3300
1315,461,2.3050
1316,460,2.3000
1317,460,2.3000
1318,462,2.3100
1319,462,2.3100
1320,462,2.3100
1321,462,2.3100
1322,462,2.3100
1323,463,2.3150
1324,465,2.3250
1325,460,2.3000
1326,462,2.3100
1327,459,2.2950
1328,461,2.3050
1329,484,2.4200
1330,461,2.3050
1331,461,2.3050
1332,461,2.3050
1333,460,2.3000
1334,463,2.3150
1335,461,2.3050
1336,462,2.3100
1337,461,2.3050
1338,462,2.3100
1339,461,2.3050
1340,464,2.3200
1341,465,2.3250
1342,462,2.3100
1343,460,2.3000
1344,461,2.3050
1345,464,2.3200
1346,462,2.3100
1347,462,2.3100
1348,462,2.3100
1349,460,2.3000
1350,461,2.3050
1351,459,2.2950
1352,460,2.3000
1353,461,2.3050
1354,461,2.3050
1355,462,2.3100
1356,460,2.3000
1357,461,2.3050
1358,460,2.3000
1359,461,2.3050
1360,462,2.3100
1361,461,2.3050
1362,460,2.3000
1363,460,2.3000
1364,460,2.3000
1365,460,2.3000
1366,461,2.3050
1367,462,2.3100
1368,462,2.3100
1369,461,2.3050
1370,461,2.3050
1371,462,2.3100
1372,459,2.2950
1373,461,2.3050
1374,463,2.3150
1375,459,2.2950
1376,460,2.3000
1377,461,2.3050
1378,461,2.3050
1379,467,2.3350
1380,460,2.3000
1381,460,2.3000
1382,460,2.3000
1383,460,2.3000
1384,461,2.3050
1385,463,2.3150
1386,460,2.3000
1387,466,2.3300
1388,462,2.3100
1389,460,2.3000
1390,460,2.3000
1391,461,2.3050
1392,461,2.3050
1393,462,2.3100
1394,463,2.3150
1395,463,2.3150
1396,461,2.3050
1397,465,2.3250
1398,460,2.3000
1399,461,2.3050
1400,461,2.3050
1401,462,2.3100
1402,462,2.3100
1403,462,2.3100
1404,464,2.3200
1405,460,2.3000
1406,462,2.3100
1407,462,2.3100
1408,462,2.3100
1409,459,2.2950
1410,461,2.3050
1411,460,2.3000
1412,462,2.3100
1413,462,2.3100
1414,488,2.4400
1415,463,2.3150
1416,467,2.3350
1417,461,2.3050
1418,462,2.3100
1419,460,2.3000
1420,461,2.3050
1421,462,2.3100
1422,462,2.3100
1423,469,2.3450
1424,460,2.3000
1425,461,2.3050
1426,459,2.2950
1427,465,2.3250
1428,460,2.3000
1429,461,2.3050
1430,467,2.3350
1431,462,2.3100
1432,460,2.3000
1433,460,2.3000
1434,459,2.2950
1435,462,2.3100
1436,460,2.3000
1437,471,2.3550
1438,461,2.3050
1439,462,2.3100
1440,460,2.3000
1441,461,2.3050
1442,469,2.3450
1443,460,2.3000
1444,460,2.3000
1445,461,2.3050
1446,461,2.3050
1447,465,2.3250
1448,461,2.3050
1449,462,2.3100
1450,460,2.3000
1451,460,2.3000
1452,460,2.3000
1453,463,2.3150
1454,462,2.3100
1455,461,2.3050
1456,461,2.3050
1457,461,2.3050
1458,463,2.3150
1459,461,2.3050
1460,462,2.3100
1461,461,2.3050
1462,462,2.3100
1463,466,2.3300
1464,460,2.3000
1465,459,2.2950
1466,460,2.3000
1467,461,2.3050
1468,461,2.3050
