# clk_mhz=200.0
# source=ctrl=hw-handshake-sw-loop coproc=cpu-steane
sample,rtt_cycles,rtt_us
1321,460,2.3000
1322,461,2.3050
1323,461,2.3050
1324,463,2.3150
1325,485,2.4250
1326,462,2.3100
1327,473,2.3650
1328,461,2.3050
1329,465,2.3250
1330,460,2.3000
1331,461,2.3050
1332,467,2.3350
1333,462,2.3100
1334,463,2.3150
1335,462,2.3100
1336,461,2.3050
1337,461,2.3050
1338,461,2.3050
1339,459,2.2950
1340,463,2.3150
1341,461,2.3050
1342,463,2.3150
1343,461,2.3050
1344,461,2.3050
1345,461,2.3050
1346,459,2.2950
1347,460,2.3000
1348,460,2.3000
1349,460,2.3000
1350,461,2.3050
1351,465,2.3250
1352,460,2.3000
1353,459,2.2950
1354,460,2.3000
1355,458,2.2900
1356,461,2.3050
1357,462,2.3100
1358,461,2.3050
1359,463,2.3150
1360,459,2.2950
1361,459,2.2950
1362,461,2.3050
1363,461,2.3050
1364,462,2.3100
1365,462,2.3100
1366,462,2.3100
1367,462,2.3100
1368,460,2.3000
1369,459,2.2950
1370,460,2.3000
1371,459,2.2950
1372,460,2.3000
1373,462,2.3100
1374,460,2.3000
1375,461,2.3050
1376,460,2.3000
1377,460,2.3000
1378,462,2.3100
1379,478,2.3900
1380,462,2.3100
1381,464,2.3200
1382,462,2.3100
1383,463,2.3150
1384,459,2.2950
1385,460,2.3000
1386,473,2.3650
1387,460,2.3000
1388,460,2.3000
1389,460,2.3000
1390,462,2.3100
1391,463,2.3150
1392,460,2.3000
1393,459,2.2950
1394,461,2.3050
1395,461,2.3050
1396,461,2.3050
1397,460,2.3000
1398,462,2.3100
1399,461,2.3050
1400,460,2.3000
1401,459,2.2950
1402,459,2.2950
1403,460,2.3000
1404,461,2.3050
1405,461,2.3050
1406,462,2.3100
1407,462,2.3100
1408,460,2.3000
1409,460,2.3000
1410,461,2.3050
1411,487,2.4350
1412,459,2.2950
1413,461,2.3050
1414,461,2.3050
1415,461,2.3050
1416,461,2.3050
1417,463,2.3150
1418,470,2.3500
1419,461,2.3050
1420,461,2.3050
1421,462,2.3100
1422,461,2.3050
1423,462,2.3100
1424,459,2.2950
1425,460,2.3000
1426,460,2.3000
1427,464,2.3200
1428,460,2.3000
1429,460,2.3000
1430,462,2.3100
